citation_key_cp,title,total_references,total_citations,abstract
Newell2014,Managing Knowledge and Managing Knowledge Work: What We Know and What the Future Holds,168,204,In this paper we review the recent IS literature o...
Oh2007,On the Assessment of the Strategic Value of Information Technologies: Conceptual and Analytical Approaches,108,187,This study compares two conceptual (resource-cente...
Orlikowski2001a,Technology and Institutions: What Can Research on Information Technology and Research on Organizations Learn from Each Other?,154,156,We argue that because of important epistemological...
Palmer2000,The Performance Impacts of Quick Response and Strategic Alignment in Specialty Retailing,71,155,T he Quick Response (QR) program is a hierarchical...
Pang2014a,"IT Resources, Organizational Capabilities, and Value Creation in Public-sector Organizations: A Public-value Management Perspective",122,167,What value does information technology (IT) create...
Pare2008,Re-examining the Causal Structure of Information Technology Impact Research,88,135,"About 20 years ago, Markus and Robey noted that mo..."
Peppard2000,Whose Job Is It Anyway?: Organizational Information Competencies for Value Creation,171,250,Research highlights that most business managers co...
Petter2013,Information Systems Success: The Quest for the Independent Variables,151,166,"In 1992, DeLone and McLean suggested that the depe..."
Pinsonneault1998,Information Technology and the Nature of Managerial Work: From the Productivity Paradox to the Icarus Paradox?,50,96,often claimed that the actual benefits of IT are d...
Quan2003,Information Technology Investments and Firms' Performance--A Duopoly Perspective,22,81,"Over the past two decades, numerous empirical stud..."
Ragowsky2000,Relating Benefits from Using IS to an Organization’s Operating Characteristics: Interpreting Results from Two Countries,33,49,"ing characteristics. However, for two individual a..."
Ravichandran2009,Diversification and Firm Performance: Exploring the Moderating Effects of Information Technology Spending,93,232,abSTRacT: a large body of research has examined th...
Ray2005,Information Technology and the Performance of the Customer Service Process: A Resource-Based Analysis,73,124,moderates the impacts of explicit IT resources suc...
Remenyi2002,As the first 50 years of computing draw to an end...: what kind of society do we want?,12,12,In the next 5-10 years advances in information tec...
Renaud2016,Is SAM still alive? A bibliometric and interpretive mapping of the strategic alignment research field,168,333,Keywords:The strategic use of IS and the alignment...
Ryan2000,Considering Social Subsystem Costs and Benefits in Information Technology Investment Decisions: A View from the Field on Anticipated Payoffs,69,111,RYAN AND HARRISON...
Sabherwal2015,Information Technology Impacts on Firm Performance: An Extension of Kohli and Devaraj (2003),432,254,Despite the importance of investing in information...
Sawyer2000,Packaged software: implications of the differences from custom approaches to software development,63,117,This paper contributes to the literature on softwa...
Schryen2013,"Revisiting IS Business Value Research: What We Already Know, What We Still Need to Know, and How We Can Get There",236,706,The business value of investments in Information S...
Schwarz2003,An extended platform logic perspective of IT governance: managing perceptions and activities of IT,58,81,"Over the years, Information Technology (IT) has st..."
Schwarz2009,A Conjoint Approach to Understanding IT Application Services Outsourcing,141,182,The sourcing of application development is becomin...
Serafeimidis2000,Information systems evaluation in practice: a case study of organizational change,65,96,Information systems (IS) evaluation is a dif cult ...
Sheng2005,Strategic Implications of Mobile Technology: A Case Study Using Value-Focused Thinking,64,170,Mobile technology extends computing and the Intern...
Shin2001,The impact of information technology on financial performance: the importance of strategic choice,26,65,Information technology (IT) may not automatically ...
Silver1995,The Information Technology Interaction Model: A Foundation for the MBA Core Course,117,129,This paper presents a teaching model that has been...
Sircar2000,A Framework for Assessing the Relationship between Information Technology Investments and Firm Performance,34,46,data used to validate the framework exceeds that u...
Sircar2009,A study of the impact of information technology on firm performance: a flexible production function approach,30,48,Most previous studies of the impact of information...
Smithson1998,Analysing information systems evaluation: another look at an old problem,114,151,Information systems (IS) evaluation is a thorny pr...
Straub2004,Measuring Firm Performance at the Network Level: A Nomology of the Business Impact of Digital Supply Networks,88,118,"ABSTRACT: For decades, information technology has ..."
Tallon2000,Executives’ Perceptions of the Business Value of Information Technology: A Process-oriented Approach,52,83,Despite significant progress in evaluating the pro...
Tallon2007b,Fact or Fiction? A Sensemaking Perspective on the Reality Behind Executives' Perceptions of IT Business Value,84,190,Although research has made significant strides in ...
Tallon2014,Do You See What I See? The Search For Consensus Among Executives’ Perceptions Of IT Business Value,77,144,Since firms rarely collect data on the precise eco...
Tam1998,The Impact of Information Technology Investments on Firm Performance and Evaluation: Evidence from Newly Industrialized Economies,33,49,T he impact of information technology (IT) investm...
Tambe2012,The Productivity of Information Technology Investments: New Evidence from IT Labor Data,52,111,T his paper uses newly collected panel data that a...
Tambe2014,Measuring Information Technology Spillovers,73,89,T he measurement of the impact of IT spillovers on...
Teo1999,An empirical study of the impacts of integrating business planning and information systems planning,38,64,This study reports on a follow-up analysis of a pr...
Teo2003,Leveraging IT resources and capabilities at the housing and development board,48,57,This paper examines how the synergy among IT resou...
Thatcher2001,"The Impact of Technology Investments on a Firm’s Production Efficiency, Product Quality, and Productivity",38,107,"For over a decade, empirical studies in the inform..."
Thatcher2004,An Economic Model of Product Quality and IT Value,65,116,W e use an economic model to formalize the complex...
Turel2014,Board-Level IT Governance and Organizational Performance,97,185,Research on the strategic management of Informatio...
Uwizeyemungu2009,Exploring an Alternative Method of Evaluating the Effects of ERP: A Multiple Case Study,84,146,Previous research has already established that com...
Vermerris2014,No Time to Waste: The Role of Timing and Complementarity of Alignment Practices in Creating Business Value in IT Projects,54,154,"Despite significant research progress, alignment-r..."
Ward2005,A Framework for Addressing the Organisational Issues of Enterprise Systems Implementation,52,87,Over the last 10 years many organisations have mad...
Wei2011,Conceptualizing and Testing a Social Cognitive Model of the Digital Divide,105,183,T he digital divide has loomed as a public policy ...
Weill1999,Assessing the Health of an Information System Applications Portfolio: An Example from Process Manufacturing,53,66,This paper presents a model of the IS applications...
Wigand2005,Information Technology Standards Choices and Industry Structure Outcomes: The Case of the US Home Mortgage Industry,69,129,Vertical IS standards prescribe data structures an...
Xu2007a,Concepts of Product Software,58,70,Both the impact of software on life and our depend...
Yap1997,Programme evaluation of a government information technology programme for small businesses,38,67,The Small Enterprise Computerization Programme (SE...
Zachariadis2013,Methodological Implications of Critical Realism for Mixed-Methods Research,81,228,"Building on recent developments in mixed methods, ..."
Chi2010,"Information Technology, Network Structure, and Competitive Action",109,199,R esearchers in competitive dynamics have demonstr...
Davern2000,Discovering Potential and Realizing Value from Information Technology Investments,33,40,is an Assistant Professor of Information Systems a...
Grover2006,A Citation Analysis of the Evolution and State of Information Systems within a Constellation of Reference Disciplines,167,185,"For the past two decades notions of ""cumulative tr..."
Kauffman2004,Proprietary and Open Systems Adoption in E-procurement: A Risk-augmented Transaction Cost Perspective,54,46,We present an economic model that enables the stud...
Lee2000,Information Technology Value through Different Normative Lenses,29,61,The influence of IT investments on organizational ...
Menon2000,Productivity of Information Systems in the Healthcare Industry,21,47,T his research paper analyzes the impact of inform...
Merono-Cerdan2007,External Web Content and Its Influence on Organizational Performance,54,74,Research into the Internet has experienced a treme...
Pavlou2005,Measuring the Return on Information Technology : A Knowledge-Based Approach for Revenue Allocation at the Process and Firm Level,58,74,This paper proposes an approach for measuring the ...
Peppard2014,Information Systems Strategy As Practice: Micro Strategy and Strategizing for IS,145,167,The ''rigor versus relevance'' debate and the ques...
Wong1998,Leveraging the Global Information Revolution for Economic Development: Singapore' S Evolving Information Industry Strategy,43,81,D espite her small size and late industrialization...
Zhu2002,E-Commerce Metrics for Net-Enhanced Organizations: Assessing the Value of E-Commerce to Firm Performance in the Manufacturing Sector,53,76,"I n this study, we developed a set of constructs t..."
Burton-Jones2007,Toward a Deeper Understanding of System Usage in Organizations: A Multilevel Perspective,100,163,The objective of this paper is to contribute to a ...
Caliendo2012,Research Note —The Cost Impact of Spam Filters: Measuring the Effect of Information System Technologies in Organizations,40,51,"D ealing with spam is very costly, and many organi..."
Chae2014b,Information Technology Capability and Firm Performance: Contradictory Findings and Their Possible Causes,58,74,Several studies support the positive link between ...
Coltman2007,Why Build a Customer Relationship Management Capability?,80,127,The market enthusiasm generated around investment ...
DeLone2003,The DeLone and McLean Model of Information Systems Success: A Ten-Year Update,59,148,"and his coauthored book, Information Technology fo..."
DeLuca2008,Furthering Information Systems Action Research: A Post-Positivist Synthesis of Four Dialectics,104,184,Dorrie DeLucaAs authors of Information Systems (IS...
Gao2006,Analyzing Complementarities Using Software Stacks for Software Industry Acquisitions,55,78,The existence of product complementarities is espe...
Goode2009,"Rethinking Organisational Size in IS Research: Meaning, Measurement and Redevelopment",161,140,While organisational size is a popular construct i...
Lee2002,Operational Linkage Between Diverse Dimensions of Information Technology Investments and Multifaceted Aspects of a Firm' S Economic Performance,26,59,A number of studies have been performed with the a...
Mitra2005,Information Technology As an Enabler of Growth in Firms: An Empirical Assessment,46,98,This research provides empirical evidence of the r...
Nevo2011,Firm-level Benefits of IT-enabled Resources: A Conceptual Extension and an Empirical Assessment,99,122,Keywords: While the business value of IT (BVIT) is...
Park2007,Impact of International Information Technology Transfer on National Productivity,65,121,R esearchers have widely postulated that the adopt...
Petter2012,"The Past, Present, and Future of ""IS Success""",91,151,Since the introduction of information systems more...
Santhanam2003,Issues in Linking Information Technology Capability to Firm Performance,30,46,The resource-based view has been proposed to inves...
Tallon2007,A Process-Oriented Perspective on the Alignment of Information Technology and Business Strategy,82,216,"Even after a decade of research and discussion, st..."
Tallon2011,Value Chain Linkages and the Spillover Effects of Strategic Information Technology Alignment: A Process-Level View,66,152,The alignment of information technology (IT) and b...
Torkzadeh2011,Usage and Impact of Technology Enabled Job Learning,69,121,Individuals use technology to experiment with new ...
Zhu2004,The Complementarity of Information Technology Infrastructure and E-Commerce Capability: A Resource-Based Assessment of Their Business Value,66,122,This study seeks to assess the business value of e...
Allen2005,IT and the Video Game Industry: Tensions and Mutual Shaping,40,98,This paper examines the influence of information t...
Atasoy2016,On the Longitudinal Effects of IT Use on Firm-Level Employment,53,139,T he effect of information technology (IT) on empl...
Baars2009,"Evaluation of RFID Applications for Logistics: A Framework for Identifying, Forecasting and Assessing Benefits",83,63,"As with all information technologies, there is a n..."
Brown2016,Handle mergers and acquisitions with care: the fragility of trust between the IT-service provider and end-users,66,179,Information technology (IT) implementation continu...
Chang2012c,An Empirical Analysis of Technical Efficiency: The Role of IT Intensity and Competition,89,189,W e analyze the impact of information technology (...
Chang2012d,The Impact of IT-related Spillovers on Long-run Productivity: An Empirical Analysis,104,225,T his paper examines the effects of IT-related spi...
Cheng2012,Relative Industry Concentration and Customer-driven IT Spillovers,38,81,W e examine how one industry's productivity is aff...
Dedrick2013,Information Technology and Productivity in Developed and Developing Countries,44,149,Movements and Technology Diffusion (Information to...
Dewan2011,Information Technology and Firm Boundaries: Impact on Firm Risk and Return Performance,66,131,"I n this paper, we empirically investigate the imp..."
Fairbank2006,"Information Processing Design Choices, Strategy, and Risk Management Performance",95,149,We examined the relationship between information t...
Fink2010,Information Technology Outsourcing through a Configurational Lens,88,179,Keywords: This paper explores the value of a confi...
Gholami2016,Information Systems Solutions for Environmental Sustainability: How Can We Do More?,40,64,"Introduction  Most scholars from all disciplines, ..."
Goh2013a,Firm Strategy and the Internet in U.S. Commercial Banking,53,118,ABSTRACT: As information technology (IT) becomes m...
Han2011,Information Technology Spillover and Productivity: The Role of Information Technology Intensity and Competition,67,184,aBstraCt: We study interindustry information techn...
Han2011a,Research Note-Returns to Information Technology Outsourcing,67,119,T his study extends existing information technolog...
Mithas2007,"Is the World Flat or Spiky? Information Intensity, Skills, and Global Service Disaggregation",129,222,W hich service occupations are the most susceptibl...
Mithas2011,How Information Management Capability Influences Firm Performance,96,139,How do information technology capabilities contrib...
Mithas2012,Information Technology and Firm Profitability: Mechanisms and Empirical Evidence,113,146,Do information technology investments improve firm...
Mithas2016a,How Information Technology Strategy and Investments Influence Firm Performance: Conjecture and Empirical Evidence,107,171,"In this paper, we develop conjectures for understa..."
Montoya2010,Connecting IT Services Operations to Services Marketing Practices,58,84,The importance of building relationships with cust...
Porra2005,The History of Texaco' S Corporate Information Technology Function: A General Systems Theoretical Interpretation,57,140,We attempt to use general systems theory (GST)   t...
Saunders2016b,Valuing Information Technology Related Intangible Assets,54,137,"In this article, we assess the value of informatio..."
Sherer2014,Advocating for Action Design Research on IT Value Creation in Healthcare,84,110,Today there is mixed evidence that health IT decre...
Tanriverdi2004,The Role of Information Technology in Risk/Return Relations of Firms,46,93,Information Technology (IT) investments are the la...
Tanriverdi2005,"Information Technology Relatedness, Knowledge Management Capability, and Performance of Multibusiness Firms",76,154,Business value of information technology is anendu...
Thatcher2004a,Understanding the Business Value of Information Technology Investments: Theoretical Evidence from Alternative Market and Cost Structures,24,55,This paper develops a series of two-stage duopoly ...
Zhu2004a,Information Technology Payoff in E-Business Environments: An International Perspective on Value Creation of E-Business in the Financial Services Industry,70,165,Grounded in the technologyorganizationenvironment ...
Zhu2005a,Post-adoption Variations in Usage and Value of E-business by Organizations: Cross-country Evidence from the Retail Industry,90,187,G rounded in the innovation diffusion literature a...
Zmud2010,Systematic Differences in Firm' S Information Technology Signaling: Implications for Research Design,95,139,"Introduction  Strategic signaling, as defined by s..."
Chen2014a,IT Capability and Organizational Performance: The Roles of Business Process Agility and Environmental Factors,109,178,The business value of information technology (IT) ...
Kohli2012,Does Information Technology Investment Influence a Firm' S Market Value? A Case of Non-Publicly Traded Healthcare Firms,74,108,Managers make informed information technology inve...
Ranganathan2006,ERP Investments and the Market Value of Firms: Toward an Understanding of Influential ERP Project Variables,38,74,T his study contributes to the growing body of lit...
Tallon2007a,Does IT Pay to Focus? An Analysis of IT Business Value Under Single and Multi-Focused Business Strategies,68,117,Previous research finds that firm performance is h...
Tallon2010,"A Service Science Perspective on Strategic Choice, IT, and Performance in U.S. Banking",57,200,"With the move to an information-based economy, fin..."
Tallon2011a,Competing Perspectives on the Link Between Strategic Information Technology Alignment and Organizational Agility: Insights from a Mediation Model,111,228,Strategic information technology alignment remains...
Akkeren2007,An epidemic of pain in an Australian radiology practice,40,102,This paper presents findings from a study of an or...
Aladwani2002,An Integrated Performance Model of Information Systems Projects,63,102,This study makes an initial attempt to validate an...
Alavi2001,Review: Knowledge Management and Knowledge Management Systems: Conceptual Foundations and Research Issues,97,155,notion that has defined epistemological debate in ...
Ali-Hassan2015,Linking dimensions of social media use to job performance: The role of social capital,156,273,abstractOrganizations are increasingly adopting ne...
Allen2013,How Should Technology-Mediated Organizational Change Be Explained? A Comparison of the Contributions of Critical Realism and Activity Theory,94,131,"In this paper, critical realism and activity theor..."
AlNatour2009a,The Adoption And Use Of IT Artifacts: A New Interaction-centric Model For The Study Of User-artifact Relationships,81,137,Research ArticleThe question of why a user adopts ...
Alter2008,Defining Information Systems As Work Systems: Implications for the IS Field,85,103,The lack of an agreed upon definition of informati...
Alter2013,"Work System Theory: Overview Of Core Concepts, Extensions, And Challenges For The Future",220,236,"Research ArticleThis paper presents a current, acc..."
Arbore2014,The Role of Signaling Identity in the Adoption of Personal Technologies,94,193,Research ArticleWe explore symbolic determinants o...
Armstrong1999,Information Technology Assimilation in Firms: The Influence of Senior Leadership and IT Infrastructures,72,173,I T assimilation is regarded as an important outco...
Arnott2014,A Critical Analysis of Decision Support Systems Research Revisited: The Rise of Design Science,82,150,In 2005 the Journal of Information Technology arti...
Au2008,Extending the Understanding of End User Information Systems Satisfaction Formation: An Equitable Needs Fulfillment Model Approach,97,169,the relationships found have been criticized for t...
Ayyagari2011,Technostress: Technological Antecedents and Implications,182,209,With the proliferation and ubiquity of information...
Ballou1995,Designing Information Systems to Optimize the Accuracy-Timeliness Tradeoff,23,39,"It is well known, of course, that the assessment o..."
Bandara2005,Factors and measures of business process modelling: model building through a multiple case study,78,69,Business process modelling has gained widespread a...
Barki2007,Information System Use-Related Activity: An Expanded Behavioral Conceptualization of Individual-Level Information System Use,62,123,D espite calls for improving current approaches to...
Bartis2008,A Multiple Narrative Approach to Information Systems Failure: A Successful System That Failed,50,87,We discuss the introduction of an information syst...
Barua2004,An Empirical Investigation of Net Enabled Business Value,133,209,tronically. We also hypothesize that increased cus...
Baskerville2002,Information Systems As a Reference Discipline,57,62,The conventional wisdom amongst information system...
Baskerville2009,The editorial organisation and submissions,2,0,"In November, EJIS completed a 'soft launch' of our..."
Beath2013,Expanding the Frontiers of Information Systems Research: Introduction to the Special Issue,92,74,Introduction  Information technologies (IT) are fu...
Beck2014,Knowledge Exchange and Symbolic Action in Social Media-Enabled Electronic Networks of Practice: A Multilevel Perspective on Knowledge Seekers and Contributors,155,262,Organizational knowledge is one of the most import...
Belanger2001,Technology Requirements and Work Group Communication for Telecommuters,48,99,A s organizations implement more and more distribu...
Benbasat2007,"Quo Vadis, TAM?",45,62,The Technology Acceptance model (TAM) is one of th...
Benlian2013,Effect Mechanisms of Perceptual Congruence Between Information Systems Professionals and Users on Satisfaction with Service,60,137,ABSTRACT: With the proliferation of available elec...
Bernroider2013a,Research in Information Systems: A Study of Diversity and Inter-Disciplinary Discourse in the AIS Basket Journals between 1995 and 2011,87,130,The paper investigates how Information Systems (IS...
Bernroider2013b,Effective ERP adoption processes: the role of project activators and resource investments,61,107,The aim of this paper is to demonstrate whether st...
Bharadwaj2009,Effects of Information Technology Failures on the Market Value of Firms,90,157,IT failures abound but little is known about the f...
Boerjesson2006,Agile improvement practices in software organizations,39,117,Inspired by the chasm between early adopters and e...
Bose2011,Integrative Framework for Assessing Firms’ Potential to Undertake Green IT Initiatives Via Virtualization –A Theoretical Perspective,95,142,abstractGreen IT (information technology) has rece...
Bradley2006a,Information Systems Success in the Context of Different Corporate Cultural Types: An Empirical Investigation,78,151,"Systems, and the Encyclopedia of Multimedia Techno..."
Bradley2012a,"Enterprise Architecture, IT Effectiveness and the Mediating Role of IT Alignment in US Hospitals",135,228,Despite the possible benefits of implementing heal...
Briggs2008,The Yield Shift Theory of Satisfaction and Its Application to the IS/IT Domain,74,124,Information Systems / Information Technology (IS/I...
Brown2002,Do I really have to? User acceptance of mandated technology,47,104,Extensive research supports the notion that useful...
Brown2014,Expectation Confirmation in Information Systems Research: A Test of Six Competing Models,152,216,"Expectation confirmation research in general, and ..."
Brown23,Expectation Confirmation in Technology Use,74,130,W e propose a model to study expectation confirmat...
Burton2015,Theoretical Perspectives in IS Research: From Variance and Process to Conceptual Latitude and Conceptual Fit,124,187,There has been growing interest in theory building...
Burton-Jones2006b,Reconceptualizing System Usage: An Approach and Empirical Test,81,138,"A lthough DeLone, McLean, and others insist that s..."
Burton-Jones2012,From Use to Effective Use: A Representation Theory Perspective,127,179,I nformation systems must be used effectively to o...
Butler2006,"Reliability, Mindfulness, and Information Systems",96,144,In a world where information technology is both im...
Byrd2000,Measuring the Flexibility of Information Technology Infrastructure: Exploratory Analysis of a Construct,101,297,other leading journals. His current research inter...
Caldeira2002,Understanding the successful adoption and use of IS/IT in SMEs: an explanation from Portuguese manufacturing industries,72,108,The objectives of the research were to identify fa...
Caldeira2003,Using resource-based theory to interpret the successful adoption and use of information systems and technology in manufacturing small and medium-sized enterprises,77,110,The purpose of this paper is to consider how resou...
Cavaye1995,Factors contributing to the success of customer oriented interorganizational systems,20,55,Interorganizational systems (10s) can help firms t...
Cavaye1996,Understanding IS implementation by estimating power of subunits,31,53,Understanding distribution of intra-organization p...
Cecez-Kecmanovic2014,Reframing Success And Failure Of Information Systems: A Performative Perspective,72,192,The paper questions common assumptions in the domi...
Cenfetelli2004,Inhibitors and Enablers As Dual Factor Concepts in Technology Usage,78,135,Information systems (IS) research has focused exte...
Cenfetelli2008,Addressing the What and How of Online Services: Positioning Supporting-Services Functionality and Service Quality for Business-to-Consumer Success,77,211,W ith the continued growth of business-to-consumer...
Cenfetelli2011,Identifying and Testing the Inhibitors of Technology Usage Intentions,87,131,A n important area of information systems (IS) res...
Chan1997,"Business Strategic Orientation, Information Systems Strategic Orientation, and Strategic Alignment",62,113,I nformation systems strategic alignment-the fit b...
Chan2010,Modeling Citizen Satisfaction with Mandatory Adoption of an E-Government Technology,134,266,While technology adoption is a major stream of res...
Chang2014,"The Push, Pull and Mooring Effects in Virtual Migration for Social Networking Sites",85,221,Social networking sites (SNSs) have become increas...
Chatterjee2002,Shaping Up for E-Commerce: Institutional Enablers of the Organizational Assimilation of Web Technologies,68,98,The global reach of the Web technological platform...
Chen2011b,Moderated Online Communities and Quality of User-Generated Content,18,33,Online communities provide a social sphere for peo...
Chen2014b,The Impact of Decision Support System Features on User Overconfidence and Risky Behavior,99,146,There is considerable research on how Decision Sup...
Chiu2007,Examining the Integrated Influence of Fairness and Quality on Learners' Satisfaction and Web-based Learning Continuance Intention,66,83,"As with any other information system (IS), the suc..."
Clark2007,"The Dynamic Structure of Management Support Systems: Theory Development, Research Focus, and Direction",276,477,"Using a systems perspective, a conceptual model is..."
Cooper2008,The Influence of Workspace Awareness on Group Intellective Decision Effectiveness,70,169,Workspace awareness is an understanding of members...
Cordoba2012,Information Systems As a Discipline in the Making: Comparing EJIS and MISQ between 1995 and 2008,91,185,This paper aims to shed light on the dynamics of i...
Croteau2001,"An information technology trilogy: business strategy, technological deployment and organizational performance",57,105,The objective of this empirical study is to identi...
