"citation_key","author","title","year","journal","volume","issue","pages"
"Banker2010","Banker, Rajiv D. and Chang, Hsihui and Kao, Yi-Ching","Evaluating Cross-organizational Impacts Of Information Technology--an Empirical Analysis",2010,"European Journal of Information Systems",19,2,"153--167"
"Bannister2000","Bannister, Frank and Remenyi, Dan","Acts of Faith: Instinct, Value and IT Investment Decisions",2000,"Journal of Information Technology",15,3,"231--241"
"Bannister2001","Bannister, Frank","Dismantling the silos: extracting new value from IT investments in public administration",2001,"Information Systems Journal",11,1,"65-84"
"Bardhan2006","Bardhan, Indranil and Whitaker, Jonathan and Mithas, Sunil","Information Technology, Production Process Outsourcing, and Manufacturing Plant Performance",2006,"Journal of Management Information Systems",23,2,"13--40"
"Bardhan2013","Bardhan, Indranil and Krishnan, Viswanathan and Lin, Shu","Research Note-Business Value of Information Technology: Testing the Interaction Effect of IT and R&D on Tobin' S Q",2013,"Information Systems Research",24,4,"1147--1161"
"Barki2007","Barki, Henri and Titah, Ryad and Boffo, Céline","Information System Use-Related Activity: An Expanded Behavioral Conceptualization of Individual-Level Information System Use",2007,"Information Systems Research",18,2,"173--192"
"Bartis2008","Bartis, Eszter and Mitev, Nathalie","A Multiple Narrative Approach to Information Systems Failure: A Successful System That Failed",2008,"European Journal of Information Systems",17,2,"112--124"
"Barua1995","Barua, Anitesh and Kriebel, Charles H. and Mukhopadhyay, Tridas","Information Technologies and Business Value: An Analytic and Empirical Investigation",1995,"Information Systems Research",6,1,"3--23"
"Barua2004","Barua, Anitesh and Konana, Prabhudev and Whinston, A. B. and Yin, Fang","An Empirical Investigation of Net Enabled Business Value",2004,"MIS Quarterly",28,4,"585--620"
"Baskerville2002","Baskerville, Richard L. and Myers, Michael D.","Information Systems As a Reference Discipline",2002,"MIS Quarterly",26,1,"1--14"
"Baskerville2009","Baskerville, Richard","The editorial organisation and submissions",2009,"European Journal of Information Systems",18,1,"1-3"
"Battleson2016","Battleson, Douglas A. and West, Barry C. and Kim, Jongwoo and Ramesh, Balasubramaniam and Robinson, Pamela S.","Achieving dynamic capabilities with cloud computing: an empirical investigation",2016,"European Journal of Information Systems",25,3,"209-230"
"Beath2013","Beath, Cynthia and Berente, Nicholas and Gallivan, Michael J. and Lyytinen, Kalle","Expanding the Frontiers of Information Systems Research: Introduction to the Special Issue",2013,"Journal of the Association for Information Systems",14,4,"1--16"
"Beck2014","Beck, Roman and Pahlke, Immanuel and Seebach, Christoph","Knowledge Exchange and Symbolic Action in Social Media-Enabled Electronic Networks of Practice: A Multilevel Perspective on Knowledge Seekers and Contributors",2014,"MIS Quarterly",38,4,"1245-1270"
"Becker2007","Becker, Jörg and Niehaves, Björn","Epistemological Perspectives on IS Research: A Framework for Analysing and Systematizing Epistemological Assumptions",2007,"Information Systems Journal",17,2,"197--214"
"Becker2013","Becker, Jan Michael and Rai, Arun and Ringle, Christian M. and Völckner, Franziska","Discovering Unobserved Heterogeneity in Structural Equation Models to Avert Validity Threats",2013,"MIS Quarterly",37,3,"665--694"
"Belanger2001","Belanger, France and Collins, Rosann Webb and Cheney, Paul H.","Technology Requirements and Work Group Communication for Telecommuters",2001,"Information Systems Research",12,2,"155--176"
"Belanger2012","Bélanger, France and Carter, Lemuria","Digitizing Government Interactions with Constituents: An Historical Review of E-Government Research in Information Systems",2012,"Journal of the Association for Information Systems",13,5,"363--394"
"Benbasat2007","Benbasat, Izak and Barki, Henri","Quo Vadis, TAM?",2007,"Journal of the Association for Information Systems",8,4,"211--218"
"Benitez-Amado2012","Benitez-Amado, Jose and Walczuch, Rita M.","Information Technology, the Organizational Capability of Proactive Corporate Environmental Strategy and Firm Performance: A Resource-based Analysis",2012,"European Journal of Information Systems",21,6,"664--679"
"Benlian2013","Benlian, Alexander","Effect Mechanisms of Perceptual Congruence Between Information Systems Professionals and Users on Satisfaction with Service",2013,"Journal of Management Information Systems",29,4,"63--96"
"Bernroider2013a","Bernroider, Edward W. N. and Pilkington, Alan and Córdoba, José-Rodrigo","Research in Information Systems: A Study of Diversity and Inter-Disciplinary Discourse in the AIS Basket Journals between 1995 and 2011",2013,"Journal of Information Technology",28,1,"74--89"
"Bernroider2013b","Bernroider, Edward","Effective ERP adoption processes: the role of project activators and resource investments",2013,"European Journal of Information Systems",22,2,"235-250"
"Beynon-Davies2000","Beynon-Davies, Paul and Mackay, Hugh and Tudhope, Douglas","'It's lots of bits of paper and ticks and post-it notes and things...': a case study of a rapid application development project",2000,"Information Systems Journal",10,3,"195-216"
"Bharadwaj2000","Bharadwaj, Anandhi","A Resource-Based Perspective on Information Technology Capability and Firm Performance: An Empirical Investigation",2000,"MIS Quarterly",24,1,"169--196"
"Bharadwaj2009","Bharadwaj, Anandhi and Keil, Mark and Mähring, Magnus","Effects of Information Technology Failures on the Market Value of Firms",2009,"The Journal of Strategic Information Systems",18,2,"66--79"
"Bharadwaj2013","Bharadwaj, Anandhi and El Sawy, Omar A. and Pavlou, Paul A. and Venkatraman, N.","Digital Business Strategy: Toward a Next Generation of Insights",2013,"MIS Quarterly",37,2,"471--482"
"Bhatt2005","Bhatt, Ganesh D. and Grover, Varun","Types of Information Technology Capabilities and Their Role in Competitive Advantage: An Empirical Study",2005,"Journal of Management Information Systems",22,2,"253--277"
"Blaskovich2011","Blaskovich, Jennifer and Mintchik, Natalia","Accounting Executives and IT Outsourcing Recommendations: An Experimental Study of the Effect of CIO Skills and Institutional Isomorphism",2011,"Journal of Information Technology",26,1,"139--152"
"Boddy2005","Boddy, David and Paton, Robert","Maintaining Alignment Over the Long-term: Lessons from the Evolution of an Electronic Point of Sale System",2005,"Journal of Information Technology",20,1,"141--151"
"Boerjesson2006","Börjesson, Anna and Martinsson, Fredrik and Timmerås, Magnus","Agile improvement practices in software organizations",2006,"European Journal of Information Systems",15,2,"169-182"
"Boh2007","Boh, Wai Fong and Yellin, Daniel","Using Enterprise Architecture Standards in Managing Information Technology",2007,"Journal of Management Information Systems",23,3,"163--207"
"Borman2006","Borman, Mark","Applying Multiple Perspectives to the BPO Decision: A Case Study of Call Centres in Australia",2006,"Journal of Information Technology",21,1,"99--115"
"Bose2011","Bose, Ranjit and Luo, Xin","Integrative Framework for Assessing Firms’ Potential to Undertake Green IT Initiatives Via Virtualization –A Theoretical Perspective",2011,"The Journal of Strategic Information Systems",20,1,"38--54"
"Bradley2006a","Bradley, Randy V. and Pridmore, Jeannie L. and Byrd, Terry Anthony","Information Systems Success in the Context of Different Corporate Cultural Types: An Empirical Investigation",2006,"Journal of Management Information Systems",23,2,"267--294"
"Bradley2012","Bradley, Randy V. and Byrd, Terry Anthony and Pridmore, Jeannie L. and Trasher, Evelyn and Pratt, Renée M. E. and Mbarika, Victor W. A.","An Empirical Examination of Antecedents and Consequences of IT Governance in US Hospitals",2012,"Journal of Information Technology",27,1,"156--177"
"Bradley2012a","Bradley, Randy V. and Pratt, Renée M. E. and Byrd, Terry Anthony and Outlay, Christina N. and Wynn Jr., Donald E.","Enterprise Architecture, IT Effectiveness and the Mediating Role of IT Alignment in US Hospitals",2012,"Information Systems Journal",22,2,"97--127"
"Brancheau1996","Brancheau, James and Janz, Brian and Wetherbe, James","Key Issues in Information Systems Management: 1994-1995 SIM Delphi Results",1996,"MIS Quarterly",20,2,"225--242"
"Briggs2008","Briggs, Robert O. and Reinig, Bruce A. and de Vreede, Gert-Jan","The Yield Shift Theory of Satisfaction and Its Application to the IS/IT Domain",2008,"Journal of the Association for Information Systems",9,5,"267--293"
"Brown2002","Brown, Susan A. and Massey, Anne P. and Montoya-Weiss, Mitzi M. and Burkman, James R.","Do I really have to? User acceptance of mandated technology",2002,"European Journal of Information Systems",11,4,"283-295"
"Brown2011","Brown, David H. and Thompson, Sheryl","Priorities, Policies and Practice of E-Government in a Developing Country Context: ICT Infrastructure and Diffusion in Jamaica",2011,"European Journal of Information Systems",20,3,"329--342"
"Brown2014","Brown, Susan A. and Venkatesh, Viswanath and Goyal, Sandeep","Expectation Confirmation in Information Systems Research: A Test of Six Competing Models",2014,"MIS Quarterly",38,3,"729--756"
"Brown2016","Brown, Susan A. and Massey, Anne P. and Ward, Kerry W.","Handle mergers and acquisitions with care: the fragility of trust between the IT-service provider and end-users",2016,"European Journal of Information Systems",25,2,"170-186"
"Brown23","Brown, Susan A. and Venkatesh, Viswanath and Goyal, Sandeep","Expectation Confirmation in Technology Use",2012,"Information Systems Research",23,2,"474--487"
"Brynjolfsson1993","Brynjolfsson, Erik","The Productivity Paradox of Information Technology",1993,"Communications of the ACM",36,12,"66--77"
"Brynjolfsson1996","Brynjolfsson, Erik and Yang, Shinkyu","Information Technology and Productivity: A Review of the Literature",1996,"Advances in Computers",43,"no issue","179--214"
"Brynjolfsson1996a","Brynjolfsson, Erik","The Contribution of Information Technology to Consumer Welfare",1996,"Information Systems Research",7,3,"281--300"
"Bulchand-Gidumal20","Bulchand-Gidumal, Jacques and Melián-González, Santiage","Maximizing the Positive Influence of IT for Improving Organizational Performance",2011,"The Journal of Strategic Information Systems",20,4,"461--478"
"Burton-Jones2006b","Burton-Jones, Andrew and Straub, Detmar W.","Reconceptualizing System Usage: An Approach and Empirical Test",2006,"Information Systems Research",17,3,"228--246"
"Burton-Jones2007","Burton-Jones, Andrew and Gallivan, Michael J.","Toward a Deeper Understanding of System Usage in Organizations: A Multilevel Perspective",2007,"MIS Quarterly",31,4,"657--679"
"Burton-Jones2012","Burton-Jones, Andrew and Grange, Camille","From Use to Effective Use: A Representation Theory Perspective",2012,"Information Systems Research",24,3,"632--658"
"Burton2015","Burton-Jones, Andrew and McLean, Ephraim R. and Monod, Emmanuel","Theoretical Perspectives in IS Research: From Variance and Process to Conceptual Latitude and Conceptual Fit",2015,"European Journal of Information Systems",24,6,"664--679"
"Butler2006","Butler, Brian S. and Gray, Peter H.","Reliability, Mindfulness, and Information Systems",2006,"MIS Quarterly",30,2,"211--224"
"Butler2008a","Butler, Tom and Murphy, Ciaran","An Exploratory Study on IS Capabilities and Assets in a Small-to-Medium Software Enterprise",2008,"Journal of Information Technology",23,4,"330--344"
"Byrd2000","Byrd, Terry Anthony and Turner, Douglas Edward","Measuring the Flexibility of Information Technology Infrastructure: Exploratory Analysis of a Construct",2000,"Journal of Management Information Systems",17,1,"167-208"
"Caldeira2002","Caldeira, Mário M. and Ward, John M.","Understanding the successful adoption and use of IS/IT in SMEs: an explanation from Portuguese manufacturing industries",2002,"Information Systems Journal",12,2,"121-152"
"Caldeira2003","Caldeira, Mário M. and Ward, John M.","Using resource-based theory to interpret the successful adoption and use of information systems and technology in manufacturing small and medium-sized enterprises",2003,"European Journal of Information Systems",12,2,"127-141"
"Caliendo2012","Caliendo, Marco and Clement, Michel and Papies, Dominik and Scheel-Kopeinig, Sabine","Research Note —The Cost Impact of Spam Filters: Measuring the Effect of Information System Technologies in Organizations",2012,"Information Systems Research",23,3,"1068--1080"
"Carlo2012","Carlo, Jessica Luo and Lyytinen, Kalle and Rose, Gregory M.","A Knowledge-Based Model of Radical Innovation in Small Software Firms",2012,"MIS Quarterly",36,3,"865--895"
"Cavaye1995","Cavaye, Angèle L. M. and Cragg, Paul B.","Factors contributing to the success of customer oriented interorganizational systems",1995,"The Journal of Strategic Information Systems",4,1,"13-30"
"Cavaye1996","Cavaye, A. L. M. and Christiansen, J. K.","Understanding IS implementation by estimating power of subunits",1996,"European Journal of Information Systems",5,4,"222-232"
"Ceccagnoli2012","Ceccagnoli, Marco and Forman, Chris and Huang, Peng and Wu, D. J.","Cocreation of Value in a Platform Ecosystem: The Case of Enterprise Software",2012,"MIS Quarterly",36,1,"263--290"
"Cecez-Kecmanovic2014","Cecez-Kecmanovic, Dubravka and Kautz, Karlheinz and Abrahall, Rebecca","Reframing Success And Failure Of Information Systems: A Performative Perspective",2014,"MIS Quarterly",38,2,"561--588"
"Cenfetelli2004","Cenfetelli, Ronald T.","Inhibitors and Enablers As Dual Factor Concepts in Technology Usage",2004,"Journal of the Association for Information Systems",5,"11-12","472--492"
"Cenfetelli2008","Cenfetelli, Ronald T. and Benbasat, Izak and Al-Natour, Sameh","Addressing the What and How of Online Services: Positioning Supporting-Services Functionality and Service Quality for Business-to-Consumer Success",2008,"Information Systems Research",19,2,"161--181"
"Cenfetelli2011","Cenfetelli, Ronald T. and Schwarz, Andrew","Identifying and Testing the Inhibitors of Technology Usage Intentions",2011,"Information Systems Research",22,4,"808-823"
"Chae2014b","Chae, Ho-Chang and Koh, Chang E. and Prybutok, Victor R.","Information Technology Capability and Firm Performance: Contradictory Findings and Their Possible Causes",2014,"MIS Quarterly",38,1,"305--326"
"Chakravarty2013","Chakravarty, Anindita and Grewal, Rajdeep and Sambamurthy, V.","Information Technology Competencies, Organizational Agility, and Firm Performance: Enabling and Facilitating Roles",2013,"Information Systems Research",24,4,"976--997"
"Chan1997","Chan, Yolande E. and Huff, Sid L. and Barclay, Donald W. and Copeland, Duncan G.","Business Strategic Orientation, Information Systems Strategic Orientation, and Strategic Alignment",1997,"Information Systems Research",8,2,"125--150"
"Chan2000","Chan, Yolande E.","IT Value: The Great Divide Between Qualitative and Quantitative and Individual and Organizational Measures",2000,"Journal of Management Information Systems",16,4,"225--261"
"Chan2010","Chan, Frank K. Y. and Thong, James Y. L. and Venkatesh, Viswanath and Brown, Susan A. and Hu, Paul Jen-Hwa and Tam, Kar Yan","Modeling Citizen Satisfaction with Mandatory Adoption of an E-Government Technology",2010,"Journal of the Association for Information Systems",11,10,"519-549"
"Chan2011","Chan, Calvin M. L. and Hackney, Ray and Pan, Shan L. and Chou, Tzu-Chuan","Managing E-Government System Implementation: A Resource Enactment Perspective",2011,"European Journal of Information Systems",20,5,"529--541"
"Chang2003","Chang, Jerry Cha-Jan and King, William R.","Measuring the Performance of Information Systems: A Functional Scorecard",2005,"Journal of Management Information Systems",22,1,"85--115"
"Chang2006","Chang, Hsin Hsin","Technical and Management Perceptions of Enterprise Information System Importance, Implementation and Benefits",2006,"Information Systems Journal",16,3,"263--292"
"Chang2012c","Chang, Young Bong and Gurbaxani, Vijay","An Empirical Analysis of Technical Efficiency: The Role of IT Intensity and Competition",2012,"Information Systems Research",24,3,"561--578"
"Chang2012d","Chang, Young Bong and Gurbaxani, Vijay","The Impact of IT-related Spillovers on Long-run Productivity: An Empirical Analysis",2012,"Information Systems Research",23,"3-part-2","868--886"
"Chang2014","Chang, I. and Liu, Chuang-Chun and Chen, Kuanchin","The Push, Pull and Mooring Effects in Virtual Migration for Social Networking Sites",2014,"Information Systems Journal",24,4,"323--346"
"Changchit1998","Changchit, Chuleeporn and Joshi, Kshiti D. and Lederer, Albert L.","Process and reality in information systems benefit analysis",1998,"Information Systems Journal",8,2,"145-162"
"Chatterjee2002","Chatterjee, Debabroto and Grewal, Rajdeep and Sambamurthy, V.","Shaping Up for E-Commerce: Institutional Enablers of the Organizational Assimilation of Web Technologies",2002,"MIS Quarterly",26,2,"65--89"
"Chau2007","Chau, Patrick Y. K. and Kuan, Kevin K. Y. and Liang, Ting-Peng","Research on IT Value: What We Have Done in Asia and Europe",2007,"European Journal of Information Systems",16,3,"196--201"
"Chen2005","Chen, Andrew N. K. and Edgington, Theresa M.","Assessing Value in Organizational Knowledge Creation: Considerations for Knowledge Workers",2005,"MIS Quarterly",29,2,"279--309"
"Chen2010a","Chen, Daniel Q. and Mocker, Martin and Preston, David S. and Teubner, Alexander","Information Systems Strategy: Reconceptualization, Measurement, and Implications",2010,"MIS Quarterly",34,2,"233--259"
"Chen2010f","Chen, Daniel Q. and Preston, David S. and Xia, Weidong","Antecedents and Effects of CIO Supply-Side and Demand-Side Leadership: A Staged Maturity Model",2010,"Journal of Management Information Systems",27,1,"231--272"
"Chen2011b","Chen, Jianqing and Xu, Hong and Whinston, Andrew B.","Moderated Online Communities and Quality of User-Generated Content",2011,"Journal of Management Information Systems",28,2,"237--268"
"Chen2014a","Chen, Yang and Wang, Yi and Nevo, Saggi and Jin, Jiafei and Wang, Luning and Chow, Wing S.","IT Capability and Organizational Performance: The Roles of Business Process Agility and Environmental Factors",2014,"European Journal of Information Systems",23,3,"326--342"
"Chen2014b","Chen, Chi-Wen and Koufaris, Marios","The Impact of Decision Support System Features on User Overconfidence and Risky Behavior",2014,"European Journal of Information Systems",24,6,"607-623"
"Cheng2012","Cheng, Zhuo and Nault, Barrie R.","Relative Industry Concentration and Customer-driven IT Spillovers",2012,"Information Systems Research",23,2,"340--355"
"Chengalur-Smith2010","Chengalur-Smith, InduShobha and Nevo, Saggi and Demertzoglou, Pindaro","An Empirical Analysis of the Business Value of Open Source Infrastructure Technologies",2010,"Journal of the Association for Information Systems",11,11,"708--729"
"Chengalur-Smith2010a","Chengalur-Smith, InduShobha and Sidorova, Anna and Daniel, Sherae","Sustainability of Free/Libre Open Source Projects: A Longitudinal Study",2010,"Journal of the Association for Information Systems",11,11,"657--683"
"Chi2010","Chi, Lei and Ravichandran, T. and Andrevski, Goce","Information Technology, Network Structure, and Competitive Action",2010,"Information Systems Research",21,3,"543--570"
"Chiasson2005","Chiasson, Mike W. and Davidson, Elizabeth","Taking Industry Seriously in Information Systems Research",2005,"MIS Quarterly",29,4,"591--605"
"Chiu2007","Chiu, Chao-Min and Chiu, ChaoSheng and Chang, Hae-Ching","Examining the Integrated Influence of Fairness and Quality on Learners' Satisfaction and Web-based Learning Continuance Intention",2007,"Information Systems Journal",17,3,"272--287"
"Choi2010","Choi, Jae and Nazareth, Derek L. and Jain, Hemant K.","Implementing Service-Oriented Architecture in Organizations",2010,"Journal of Management Information Systems",26,4,"253--286"
"Choi2012","Choi, Byounggu and Lee, Jae-Nam","Complementarities and Substitutabilities Among Knowledge Sourcing Strategies and Their Impact on Firm Performance",2012,"Journal of the Association for Information Systems",13,7,"498--545"
"Chwelos2010","Chwelos, Paul and Ramirez, Ronald and Kraemer, Kenneth L. and Melville, Nigel P.","Research Note —Does Technological Progress Alter the Nature of Information Technology As a Production Input? New Evidence and New Results",2010,"Information Systems Research",21,2,"392--408"
"Clark2007","Clark, Thomas D. Jr. and Jones, Mary C. and Armstrong, Curtis P.","The Dynamic Structure of Management Support Systems: Theory Development, Research Focus, and Direction",2007,"MIS Quarterly",31,3,"579--615"
"Clemons1994","Clemons, Eric K. and Row, Michael C.","Special Section: Strategic and Competitive Information Systems",1994,"Journal of Management Information Systems",11,2,"5--7"
"Coltman2007","Coltman, T. R.","Why Build a Customer Relationship Management Capability?",2007,"The Journal of Strategic Information Systems",16,3,"301--320"
"Coltman2007a","Coltman, T. R. and Devinney, T. M. and Midgley, D. F.","E-Business Strategy and Firm Performance: A Latent Class Assessment of the Drivers and Impediments to Success",2007,"Journal of Information Technology",22,2,"87--101"
"Coltman2011","Coltman, Tim and Devinney, Timothy M. and Midgley, David F.","Customer Relationship Management and Firm Performance",2011,"Journal of Information Technology",26,3,"205--219"
"Coltman2015","Coltman, Tim and Tallon, Paul and Sharma, Rajeev and Queiroz, Magno","Strategic IT alignment: twenty-five years on",2015,"Journal of Information Technology",30,2,"91-100"
"Constantiou2014","Constantiou, Ioanna D. and Kallinikos, Jannis","New Games, New Rules: Big Data and the Changing Context of Strategy",2014,"Journal of Information Technology",30,1,"44-57"
"Cooper2008","Cooper, Randolph B. and Haines, Russell","The Influence of Workspace Awareness on Group Intellective Decision Effectiveness",2008,"European Journal of Information Systems",17,6,"631--648"
"Cordoba2008","Cordoba, José-Rodrigo and Midgley, Gerald","Beyond Organisational Agendas: Using Boundary Critique to Facilitate the Inclusion of Societal Concerns in Information Systems Planning",2008,"European Journal of Information Systems",17,2,"125--142"
"Cordoba2009","Córdoba, José-Rodrigo","Critical Reflection in Planning Information Systems: A Contribution from Critical Systems Thinking",2009,"Information Systems Journal",19,2,"123--147"
"Cordoba2012","Córdoba, José-Rodrigo and Pilkington, Alan and Bernroider, Edward W. N.","Information Systems As a Discipline in the Making: Comparing EJIS and MISQ between 1995 and 2008",2012,"European Journal of Information Systems",21,5,"479--495"
"Croteau2001","Croteau, Anne-Marie and Bergeron, François","An information technology trilogy: business strategy, technological deployment and organizational performance",2001,"The Journal of Strategic Information Systems",10,2,"77-99"
"Dang2012","Dang, Yan and Zhang, Yulei and Chen, Hsinchun and Brown, Susan A. and Hu, Paul Jen-Hwa and Nunamaker, Jay F.","Theory-Informed Design and Evaluation of an Advanced Search and Knowledge Mapping System in Nanotechnology",2012,"Journal of Management Information Systems",28,4,"99--127"
"Daniel2005","Daniel, Elizabeth M. and White, Andrew","The Future of Inter-Organisational System Linkages: Findings of an International Delphi Study",2005,"European Journal of Information Systems",14,2,"188--203"
"Dao2011","Dao, Viet and Langella, Ian and Carbo, Jerry","From Green to Sustainability: Information Technology and an Integrated Sustainability Framework",2011,"The Journal of Strategic Information Systems",20,1,"63--79"
"Davamanirajan2006","Davamanirajan, Prabu and Kauffman, Robert J. and Kriebel, Charles H. and Mukhopadhyay, Tridas","Systems Design, Process Performance, and Economic Outcomes in International Banking",2006,"Journal of Management Information Systems",23,2,"65--90"
"Davern2000","Davern, Michael J. and Kauffman, Robert J.","Discovering Potential and Realizing Value from Information Technology Investments",2000,"Journal of Management Information Systems",16,4,"121--143"
"Davis2009a","Davis, Joshua M. and Kettinger, William J. and Kunev, Dimiar G.","When Users Are IT Experts Too: The Effects of Joint IT Competence and Partnership on Satisfaction with Enterprise-level Systems Implementation",2009,"European Journal of Information Systems",18,1,"26--37"
"Dawson2016","Dawson, G. S. and Denford, J. S. and Desouza, K. C.","Governing innovation in US state government: An ecosystem perspective",2016,"The Journal of Strategic Information Systems",25,4,"299-318"
"Dedrick2003","Dedrick, Jason and Gurbaxani, Vijay and Kraemer, Kenneth L.","Information Technology and Economic Performance: A Critical Review of the Empirical Evidence",2003,"ACM Computing Surveys",35,1,"1--28"
"Dedrick2010","Dedrick, Jason and Kraemer, Kenneth L.","Impacts of Internal and Interorganizational Information Systems on the Outsourcing of Manufacturing",2010,"The Journal of Strategic Information Systems",19,2,"78--95"
"Dedrick2013","Dedrick, Jason and Kraemer, Kenneth L. and Shih, Eric","Information Technology and Productivity in Developed and Developing Countries",2013,"Journal of Management Information Systems",30,1,"97--122"
"Dehning2002","Dehning, Bruce and Richardson, Vernon J.","Returns on Investments in Information Technology: A Research Synthesis",2002,"Journal of Information Systems",16,1,"7--30"
"Dehning2003","Dehning, Bruce and Stratopoulos, Theophanis","Determinants of a sustainable competitive advantage due to an IT-enabled strategy",2003,"The Journal of Strategic Information Systems",12,1,"7-28"
"Dehning2004","Dehning, Bruce and Richardson, Vernon J. and Urbaczewski, Andrew and Wells, John D.","Reexamining the Value Relevance of E-commerce Initiatives",2004,"Journal of Management Information Systems",21,1,"55--82"
"DeLone1992","DeLone, William H. and McLean, Ephraim R.","Information Systems Success: The Quest for the Dependent Variable",1992,"Information Systems Research",3,1,"60--95"
"DeLone2003","DeLone, William H. and McLean, Ephraim R.","The DeLone and McLean Model of Information Systems Success: A Ten-Year Update",2003,"Journal of Management Information Systems",19,4,"9--30"
